Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
375      4.292776e+00   4.292602e+00   1.738544e-04   4.05e-05  
376      4.716924e+00   4.716497e+00   4.273900e-04   9.06e-05  
377      4.989598e+00   4.988423e+00   1.174595e-03   2.35e-04  
378      5.041993e+00   5.041278e+00   7.140963e-04   1.42e-04  
379      4.801976e+00   4.803135e+00   1.159254e-03   2.41e-04  
380      4.197942e+00   4.195757e+00   2.184166e-03   5.20e-04  
381      3.162398e+00   3.161882e+00   5.163666e-04   1.63e-04  
382      1.636076e+00   1.633532e+00   2.544386e-03   1.56e-03  
383      -4.245177e-01  -4.252531e-01  7.354440e-04   1.73e-03  
384      -3.032148e+00  -3.036703e+00  4.555509e-03   1.50e-03  
385      -6.145961e+00  -6.147549e+00  1.588520e-03   2.58e-04  
386      -9.648591e+00  -9.651226e+00  2.635057e-03   2.73e-04  
387      -1.333854e+01  -1.333788e+01  6.522943e-04   4.89e-05  
